merchant,description,category
OB/GYN,dentiste,Healthcare
Crutches,farmacia,Healthcare
IRS,Freelance payment,Income
Commission,Monthly salary,Income
DIVIDEND SQUA $921.26,,Income
Quest Diagnostics,Blood work,Healthcare
ONLINE ORDER Sephora Cable,,Shopping
Taco Bell,Catering order,Food & Drink
BOOK STORE $1621.65 Scholarship,,Education
Conference,,Education
WAL-MART SUPERCENTER #8310 Subscription box,,Shopping
Oil Change,транспорт,Transport
Prize Money,Shop earnings,Income
SCHOOL PAYMENT $1311.99,,Education
Federal Refund,Overtime,Income
MAINTENANCE Airbnb $2275.78 Security deposit,,Housing
ATM Fee,sonstiges,Other
T-Mobile,Wireless bill,Bills & Utilities
Psychiatrist,медицина,Healthcare
Petco,App purchase,Shopping
LIVE NATION $107.25 Bowling night,,Entertainment
Window Repair,बंधक,Housing
Jamba Juice SUBSCRIPTION RENEWAL,,Food & Drink
PLAYSTATION STORE $84.82 Music,,Entertainment
STOCK SALE FREE $7576.83 Dividend payment,,Income
The Halal Guys,Seafood,Food & Drink
Marco's Pizza,Burger,Food & Drink
Uber,旅行,Transport
DOORDASH *Papa Murphy's PURCHASE Lunch,,Food & Drink
JOANN,electrónica,Shopping
Pest Control,Smart home,Housing
Cedars-Sinai,COVID vaccine,Healthcare
T-MOBILE AUTOPAY $217.75,,Bills & Utilities
Reliant Energy,Phone bill,Bills & Utilities
Rosetta Stone,Spa treatment,Entertainment
Binance,Airbnb income,Income
SoundCloud,Festival,Entertainment
Bank of America,renda,Income
Auto Repair,Flight ticket,Transport
Urgent Care,Annual checkup,Healthcare
UNIVERSITY TUITION $1479.62,,Education
ONLINE ORDER JioMart Clothes,,Shopping
SPOTIFY USA $111.47,,Entertainment
Crutches,медицина,Healthcare
Uber,ईंधन,Transport
T-MOBILE AUTOPAY $203.47,,Bills & Utilities
PHARMACY PURCHASE $1030.01 Flu shot,,Healthcare
DEBIT PURCHASE Adidas,,Shopping
Auto Insurance,تأمين,Bills & Utilities
DHL,,Other
GEICO PAYMENT $171.39,,Bills & Utilities
PARKING BERLIN $664.29,,Transport
UPS SHIPPING $149.95,,Other
AUTOPAY VERIZON WIRELESS $302.86 monthly charge,,Bills & Utilities
KFC,almoço,Food & Drink
HOA Dues,,Bills & Utilities
CHEGG STUDY $631.00,,Education
RENT PAYMENT $2715.11 Appliance,,Housing
Megabus,Detailing,Transport
STATE FARM INS $22.91,,Bills & Utilities
Smoothie King,杂货,Food & Drink
HOA DUES $1911.52,,Housing
Trulia,Electrician,Housing
ONLINE ORDER Big Lots,,Shopping
Notary,sonstiges,Other
Red Lobster,,Food & Drink
Olive Garden,Dinner,Food & Drink
Fine,Prepaid load,Other
POS PURCHASE Jack in the Box TORONTO,,Food & Drink
MEDICAL CENTER $1015.81 Eye exam,,Healthcare
Spin,топливо,Transport
Upwork,返金,Income
CARD 6873 PURCHASE Sonic,,Food & Drink
Accountant,عام,Other
MISC PURCHASE $174.27,,Other
Furniture Store,Maintenance,Housing
AWS Training,Spanish class,Education
Spotify,cinema,Entertainment
ONLINE ORDER Michael Kors,,Shopping
Freelance Payment,استرداد,Income
Nothing Bundt Cakes,,Food & Drink
GOVERNMENT PAYMENT $166.50,,Other
Netflix,,Entertainment
RECURRING PAYMENT Tax Payment,,Bills & Utilities
OneDrive,Monthly fee,Bills & Utilities
Big Lots,elektronik,Shopping
Department Store,,Shopping
Lawn Care,Smart home,Housing
DEBIT CARD PURCHASE Jack in the Box Sandwich,,Food & Drink
LIVE NATION $82.06,,Entertainment
Travelers,सदस्यता,Bills & Utilities
Berlitz,,Education
Ambulance,Emergency,Healthcare
Disney+,facturas,Bills & Utilities
ONLINE ORDER Bloomingdale's,,Shopping
Spotify,Maintenance fee,Bills & Utilities
County Tax,Broadband,Bills & Utilities
Social Security,,Income
Convenience Fee,Damage payment,Other
ATM Fee,diversos,Other
MinuteClinic,Pet surgery,Healthcare
SpotHero,avión,Transport
LYFT RIDES $406.97,,Transport
DIRECT DEBIT Sprint $80.95 Monitoring fee,,Bills & Utilities
TICKETMASTER $157.94 Family plan,,Entertainment
CVS PHARMACY #5732 $319.39,,Healthcare
AUTOPAY VERIZON WIRELESS $299.44 Convenience fee,,Bills & Utilities
METRO TRANSIT $326.04 Gas fill-up,,Transport
Starbucks,Tea,Food & Drink
T-MOBILE AUTOPAY $211.77,,Bills & Utilities
SHELL OIL SAO PAULO #1138,,Transport
Souplantation,Weekend brunch,Food & Drink
MORTGAGE PAYMENT $2164.55 Cleaning,,Housing
ACH CREDIT Stock Sale Interest payment,,Income
EVgo,Parking fee,Transport
Skillshare,Cooking class,Education
DIRECT DEBIT Con Edison $181.94 Insurance,,Bills & Utilities
Parking,,Transport
PG&E ELECTRIC $111.68 Convenience fee,,Bills & Utilities
School,Voice lesson,Education
Flipkart,électronique,Shopping
CHEGG STUDY $101.40 Martial arts,,Education
MISC PURCHASE $64.60,,Other
SCHOOL PAYMENT $1550.94,,Education
MAINTENANCE Realtor.com $793.16,,Housing
PHARMACY PURCHASE $1049.66,,Healthcare
SPOTIFY USA $9.32,,Entertainment
RECURRING PAYMENT LA Fitness Interest charge,,Bills & Utilities
Rentokil,casa,Housing
Remittance,общее,Other
IRS TREAS 310 TAX REF Bond interest,,Income
T-MOBILE AUTOPAY $229.14 autopay,,Bills & Utilities
Alaska Airlines,Inspection,Transport
App Academy,Piano lesson,Education
PURCHASE AUTHORIZED Wagamama $61.32 Delivery,,Food & Drink
Taco Bell,Holiday dinner,Food & Drink
SCHOOL PAYMENT $1575.38 Voice lesson,,Education
Texas Roadhouse,merceria,Food & Drink
Emergency room,,Healthcare
ONLINE ORDER Prada Hardware,,Shopping
UBER *TRIP $597.45,,Transport
License Renewal,SAT prep,Education
Treehouse,Language learning,Education
MISC PURCHASE $63.71,,Other
SpotHero,In-flight meal,Transport
HOME DEPOT.COM $2194.92 Security deposit,,Housing
Game pass,Music,Entertainment
DENTAL ASSOCIATES $677.44 Contacts,,Healthcare
ONLINE ORDER Tiffany & Co,,Shopping
Emirates,,Transport
PAYPAL TRANSFER $5678.28,,Income
DIRECT DEPOSIT PAYROLL $595.35 Tax refund,,Income
Royalty Payment,退款,Income
Alaska Airlines,Business class,Transport
Inheritance,Bonus,Income
Cleveland Clinic,стоматология,Healthcare
Cash App,einkommen,Income
Golden Corral,Drive-through,Food & Drink
Ashley Furniture,Sports equipment,Shopping
Health Insurance,,Bills & Utilities
Biryani Palace,Catering order,Food & Drink
Ambulance,Orthodontist,Healthcare
Comedy Club,Bowling night,Entertainment
Verizon Store,Phone case,Shopping
H&M,Clothing,Shopping
PHARMACY PURCHASE $182.08 Hospital stay,,Healthcare
QUEST DIAGNOSTICS $374.58 Braces,,Healthcare
ER visit,salud,Healthcare
UBER EATS *Del Taco PURCHASE Food,,Food & Drink
PetSmart,Birthday gift,Shopping
Tidal,,Entertainment
KAISER PERMANENTE $976.07 Retainer,,Healthcare
Ashley Furniture,App purchase,Shopping
Painting,Repair supplies,Housing
BANK FEE $63.97 Delivery,,Other
Little Caesars,杂货,Food & Drink
MAINTENANCE Zillow $2914.49,,Housing
Refund,reembolso,Income
AMAZON.COM PURCHASE $448.69 Digital purchase,,Shopping
UBER EATS *Yo! Sushi PURCHASE Pizza,,Food & Drink
STOCK SALE GIFT $8063.74 Part-time work,,Income
Apple Music,Maintenance fee,Bills & Utilities
Denny's,Beer,Food & Drink
HOSPITAL BILL $339.51,,Healthcare
STATE FARM INS $338.62 Monitoring fee,,Bills & Utilities
BANK FEE $38.57,,Other
Apple Music,versorgung,Bills & Utilities
USPS POSTAGE $103.12 Locker,,Other
MORTGAGE PAYMENT $1754.13,,Housing
Wetherspoons,Alcohol,Food & Drink
Chipotle Mexican Grill,레스토랑,Food & Drink
MasterClass,Student fee,Education
Penalty,Storage rental,Other
Toll,Unit rental,Other
Bet,Misc purchase,Other
Wetherspoons STORE #6867 PURCHASE,,Food & Drink
Federal Refund,Investment return,Income
Property Management Co.,,Housing
Circus,Family plan,Entertainment
DIVIDEND LOTT $1431.20,,Income
HOA DUES $1562.89,,Housing
Trulia,Decor,Housing
ATM WITHDRAWAL FEE Accounting,,Other
Travelers,فواتير,Bills & Utilities
SCHOOL PAYMENT $597.42,,Education
Town Hall,,Other
Painting,réparation,Housing
Dutch Bros,Buffet,Food & Drink
Pandora,Expansion,Entertainment
QUEST DIAGNOSTICS $272.89,,Healthcare
Yoga Studio,اشتراك,Bills & Utilities
Yard Sale,Tax refund,Income
Xbox Store,音楽,Entertainment
QUEST DIAGNOSTICS $1354.54 Prescription,,Healthcare
Building Maintenance,आवास,Housing
Baskin-Robbins SUBSCRIPTION RENEWAL Family meal,,Food & Drink
Transit Pass,Charging,Transport
Trade School,Study material,Education
University,Books,Education
Freelance Client,Dividend payment,Income
E-ZPass,Registration,Transport
Rewards,Refund,Income
Retail Purchase,Hiking,Shopping
Cabela's,買い物,Shopping
Game pass,Wellness subscription,Entertainment
DENTAL ASSOCIATES $353.23 Prescription,,Healthcare
Tax Return,Rebate check,Income
DIRECT DEPOSIT PAYROLL $4278.97,,Income
PetSmart,电子产品,Shopping
VENMO CASHOUT $830.99,,Income
Dog Walking,विभिन्न,Other
QUEST DIAGNOSTICS $840.03,,Healthcare
Trust Distribution,Sublease,Income
CHEGG STUDY $587.79,,Education
Surgery,Braces,Healthcare
Zillow,Windows,Housing
Adobe Creative Cloud,Internet,Bills & Utilities
HVAC,Hotel,Housing
SPOTIFY USA $54.30,,Entertainment
Social Security,付款,Income
RENT PAYMENT $2686.44 Garden,,Housing
PARKING PARIS $305.71,,Transport
Psychiatrist,santé,Healthcare
QUEST DIAGNOSTICS $963.39 Dental work,,Healthcare
Gas Station,,Transport
Notebooks,Tech course,Education
Skillsoft,escuela,Education
College,Language class,Education
DELTA AIR LINES $267.19,,Transport
Lyft,Ride share,Transport
SimpliSafe,Installation fee,Bills & Utilities
STEAM PURCHASE $36.71,,Entertainment
Lowe's,Home warranty,Housing
Ecobee,抵押贷款,Housing
STEAM PURCHASE $138.50 Movie ticket,,Entertainment
VENMO CASHOUT $5890.31,,Income
PLAYSTATION STORE $162.49 Streaming subscription,,Entertainment
Retail Purchase,magasin,Shopping
IKEA,Beauty products,Shopping
McDonald's,아침,Food & Drink
Court Payment,Maintenance fee,Bills & Utilities
Applebee's,Brunch,Food & Drink
PLURALSIGHT $1944.19 Lifetime access,,Education
MEDICAL CENTER $221.22,,Healthcare
Clinic,,Healthcare
edX,Degree program,Education
LYFT RIDES $459.19 Uber,,Transport
Nest,आवास,Housing
Overdraft Fee,Pressing,Other
Bonus Payment,Settlement check,Income
Recycling,サブスクリプション,Bills & Utilities
Refund,salaire,Income
Treehouse,universität,Education
AUTOPAY VERIZON WIRELESS $322.07,,Bills & Utilities
Insurance Premium,,Bills & Utilities
Continuing Education,,Education
Public Storage,Paint,Housing
Newegg,,Shopping
State Tax Refund,Consulting,Income
ONLINE PURCHASE Papa Murphy's.COM,,Food & Drink
GEICO PAYMENT $98.35,,Bills & Utilities
PAYPAL TRANSFER $1993.14 Paycheck,,Income
Inheritance,State refund,Income
Liberty Mutual,Finance charge,Bills & Utilities
PHARMACY PURCHASE $672.21 Psychiatry,,Healthcare
Charles Schwab,Side hustle,Income
Continuing Education,Coding bootcamp,Education
MRI,Medical,Healthcare
USPS POSTAGE $12.47,,Other
USPS POSTAGE $37.37 Uncategorized,,Other
HOME DEPOT.COM $1267.69 Home improvement,,Housing
T-MOBILE AUTOPAY $257.74 Internet,,Bills & Utilities
Florist,verschiedenes,Other
Maid Brigade,抵押贷款,Housing
LOWES #8470 $784.20,,Housing
Nothing Bundt Cakes,Fresh produce,Food & Drink
Dollar Tree,Books,Shopping
T-MOBILE AUTOPAY $279.66 Electric bill,,Bills & Utilities
Baggage Fee,Economy class,Transport
PLURALSIGHT $384.56 Martial arts,,Education
KAISER PERMANENTE $113.82 Root canal,,Healthcare
Doctor,больница,Healthcare
UNITED AIRLINES $228.26 Gas,,Transport
Sylvan Learning,Student fee,Education
COMCAST CABLE $189.99,,Bills & Utilities
DOORDASH *Buffalo Wild Wings PURCHASE Catering order,,Food & Drink
PAYPAL TRANSFER $4901.96 Holiday pay,,Income
RENT PAYMENT $1944.19,,Housing
AMAZON.COM PURCHASE $159.96 Birthday gift,,Shopping
Geico,Insurance,Bills & Utilities
STOCK SALE COIN $5786.73,,Income
DMV,,Other
POS PURCHASE Shake Shack SINGAPORE,,Food & Drink
Town Hall,Consultation,Other
AUTOPAY VERIZON WIRELESS $21.42,,Bills & Utilities
Bank of America,دفعة,Income
LA Fitness,उपयोगिताएँ,Bills & Utilities
POS PURCHASE Safeway TORONTO,,Food & Drink
Cava,Counter service,Food & Drink
RECURRING PAYMENT Comcast,,Bills & Utilities
STOCK SALE ROBI $2898.63,,Income
Etsy,,Shopping
UNITED AIRLINES $681.67,,Transport
Tea House,Water,Food & Drink
Yo! Sushi,,Food & Drink
Mount Sinai,Dental cleaning,Healthcare
RECURRING PAYMENT TXU Energy,,Bills & Utilities
BOOK STORE $701.60,,Education
GOVERNMENT PAYMENT $87.66 Shipping,,Other
TGI Friday's,Pizza,Food & Drink
Princeton Review,Spanish class,Education
Game pass,musique,Entertainment
DIVIDEND AIRB $4531.42,,Income
Freenow,EV charging,Transport
Peloton,,Bills & Utilities
BEST BUY #3952 TOKYO Sports equipment,,Shopping
SKILLSHARE $889.00 Practice exam,,Education
Popeyes,食料品,Food & Drink
Hardwood,ローン,Housing
Direct Energy,autopay,Bills & Utilities
DELTA AIR LINES $337.95 Charging,,Transport
Self Storage,,Other
Penalty,Legal fee,Other
Notebooks,Grant,Education
Arcade,Museum visit,Entertainment
Pool Service,reparo,Housing
SCHOOL PAYMENT $548.27 Martial arts,,Education
Urgent Care,Glasses,Healthcare
Airbnb,Licensing,Income
METRO TRANSIT $74.78,,Transport
Netflix,구독,Bills & Utilities
HOME DEPOT.COM $1878.49,,Housing
MISC PURCHASE $129.83,,Other
HOA DUES $1489.50 Security,,Housing
UNITED AIRLINES $579.95 Long distance ride,,Transport
Bass Pro Shops,Phone case,Shopping
GOVERNMENT PAYMENT $122.69 Scanning,,Other
VENMO CASHOUT $6557.10 Capital gains,,Income
Google Store,,Shopping
Goethe Institut,Study material,Education
CompTIA,Practice exam,Education
UBER *TRIP $427.61 Oil change,,Transport
ATM WITHDRAWAL FEE Gift card purchase,,Other
Hobby Lobby,दुकान,Shopping
License Fee,Royalties,Income
Wire Transfer Fee,Kennel,Other
OB/GYN,X-ray,Healthcare
DEBIT PURCHASE T-Mobile Store Cable,,Shopping
Church,Damage payment,Other
PHARMACY PURCHASE $507.23,,Healthcare
LIVE NATION $122.18,,Entertainment
Vitamins,Dental cleaning,Healthcare
Thrifty,Oil change,Transport
Concert,Festival,Entertainment
JioMart,ملابس,Shopping
Jump Start,Street parking,Transport
Shake Shack,食料品,Food & Drink
Hardee's,Family meal,Food & Drink
Amazon Locker,,Other
PetSmart,,Shopping
CHEGG STUDY $128.04,,Education
CHEGG STUDY $507.17,,Education
Game Ticket,,Entertainment
SSDI,Capital gains,Income
LinkedIn Learning,大学,Education
Retail Purchase,Retail,Shopping
DIVIDEND BONU $3096.58 Consulting,,Income
ChargePoint,Gas,Transport
DIRECT DEPOSIT PAYROLL $6339.62,,Income
Upwork,Gig economy,Income
UNITED AIRLINES $368.61 Diesel,,Transport
Aldi,रेस्तरां,Food & Drink
Angi,आवास,Housing
STATE FARM INS $263.39,,Bills & Utilities
Post Office,Consultation,Other
AUTOPAY VERIZON WIRELESS $349.13,,Bills & Utilities
DEBIT CARD PURCHASE Bun Bo Hue Afternoon tea,,Food & Drink
ATM WITHDRAWAL FEE Printing,,Other
Grocery Store,Cappuccino,Food & Drink
CARD 6105 PURCHASE Jack in the Box Takeout,,Food & Drink
CARD 1752 PURCHASE Walmart,,Food & Drink
WAL-MART SUPERCENTER #7562,,Shopping
PARKING CHICAGO $524.70,,Transport
Overtime Pay,Bonus,Income
Wheelchair,طبي,Healthcare
CVS PHARMACY #5643 $61.23,,Healthcare
Genki Sushi,Snack,Food & Drink
Plumber,Home improvement,Housing
Cooking Classes,Tuition payment,Education
Microsoft Store,zuhause,Shopping
Walgreens,Supplement,Healthcare
JetBlue,Round trip,Transport
AMC THEATRES SEOUL $118.87,,Entertainment
STOCK SALE TRUS $4002.12,,Income
QUEST DIAGNOSTICS $399.88,,Healthcare
School Supplies,Lab fee,Education
DIRECT DEPOSIT PAYROLL $5920.32 Overtime,,Income
Wetherspoons,Pasta,Food & Drink
LIVE NATION $21.03 Film,,Entertainment
SCHOOL PAYMENT $1813.84,,Education
Tropical Smoothie,Taco,Food & Drink
Hulu,,Bills & Utilities
UNITED AIRLINES $319.47 EV charging,,Transport
USPS POSTAGE $84.38,,Other
Crunchyroll,Digital purchase,Entertainment
Taxi,EV charging,Transport
Crypto Exchange,Overtime,Income
Pet Store,잡다,Other
Intellectual Property,Tax refund,Income
Dairy Queen,Burger,Food & Drink
Betting,unterhaltung,Entertainment
CompTIA,bildung,Education
Naan Stop,Dinner,Food & Drink
KAISER PERMANENTE $1018.20,,Healthcare
PG&E ELECTRIC $76.04 Broadband,,Bills & Utilities
Game pass,सिनेमा,Entertainment
AUTOPAY VERIZON WIRELESS $167.48,,Bills & Utilities
Myntra,Quarterly box,Shopping
Trash Pickup,Convenience fee,Bills & Utilities
EXXON MOBIL #5177,,Transport
WooCommerce,Gig economy,Income
LIVE NATION $192.62 Live show,,Entertainment
WESTERN UNION $47.82,,Other
Ophthalmologist,,Healthcare
VENMO CASHOUT $3142.03,,Income
Pet Store,verschiedenes,Other
PHARMACY PURCHASE $1230.10,,Healthcare
SPOTIFY USA $178.66 Add-on content,,Entertainment
Amazon,Online shopping,Shopping
SPOTIFY USA $109.98 Movie,,Entertainment
Locksmith,Airbnb stay,Housing
Snapchat,Fitness class,Entertainment
FEDEx SHIPPING $19.75 Wire,,Other
Johns Hopkins,치과,Healthcare
Heartland Dental,Crown,Healthcare
APPLE STORE PURCHASE $452.60 Gift,,Shopping
DELTA AIR LINES $532.37,,Transport
Charity,Scanning,Other
STATE TREASURY REFUND Gig economy,,Income
Metro,,Transport
JioMart,Jacket,Shopping
QUEST DIAGNOSTICS $252.37 Orthodontist,,Healthcare
Donation,misceláneos,Other
Bonus,환급,Income
Property Management Co.,Rent,Housing
Deli,,Food & Drink
Adobe Creative Cloud,Auto-pay,Bills & Utilities
Instagram,Video games,Entertainment
CityMD,,Healthcare
Thrifty,Daily commute,Transport
Michaels,Art supplies,Shopping
ONLINE PURCHASE Coffee Shop.COM,,Food & Drink
AUTOPAY VERIZON WIRELESS $58.47,,Bills & Utilities
T-MOBILE AUTOPAY $195.40,,Bills & Utilities
STEAM PURCHASE $113.31,,Entertainment
Souplantation SUBSCRIPTION RENEWAL Weekend brunch,,Food & Drink
DENTAL ASSOCIATES $446.00,,Healthcare
Cava,Delivery,Food & Drink
Dior,Sandals,Shopping
Zillow,,Housing
UBER *TRIP $632.19,,Transport
AMAZON.COM PURCHASE $48.52,,Shopping
STOCK SALE LICE $8101.11 Direct deposit,,Income
Flower Shop,,Other
Condo Fee,Remodel,Housing
Aldi,,Food & Drink
SKILLSHARE $1573.63,,Education
Best Buy,,Shopping
Hulu,Streaming subscription,Entertainment
Rebate,수입,Income
Refund,आय,Income
ACH CREDIT Upwork,,Income
Five Below,Quarterly box,Shopping
Festival pass,Karaoke night,Entertainment
Bolt,Parking daily,Transport
British Airways,टैक्सी,Transport
Garage Door,Move-in fee,Housing
COMCAST CABLE $283.77 Broadband,,Bills & Utilities
Trader Joe's,Groceries,Food & Drink
UBER EATS *Walmart PURCHASE,,Food & Drink
Ring,Processing fee,Bills & Utilities
Investment,Rental income,Income
CT scan,Hospital stay,Healthcare
USPS POSTAGE $84.11 Kennel,,Other
FEDEx SHIPPING $181.31 Misc purchase,,Other
FEDEx SHIPPING $1.98 Tax prep,,Other
CHEGG STUDY $755.22 Scholarship,,Education
STATE FARM INS $237.16,,Bills & Utilities
Lowe's,Gift,Shopping
UBER EATS *Peet's Coffee PURCHASE Pasta,,Food & Drink
Escape Room,,Entertainment
XBOX LIVE $45.81 Family plan,,Entertainment
Religious Organization,Transfer,Other
DEBIT PURCHASE IKEA,,Shopping
METRO TRANSIT $263.27 Supercharger,,Transport
GOVERNMENT PAYMENT $81.30,,Other
Valet Parking,Auto payment,Transport
Inheritance,reembolso,Income
ONLINE ORDER E-commerce Purchase Dress,,Shopping
MISC PURCHASE $199.85,,Other
IRS TREAS 310 TAX REF Refund,,Income
Orkin,家,Housing
UDEMY COURSE $1061.14,,Education
Federal Refund,Tax refund,Income
STOCK SALE TOPT $4931.54 Royalties,,Income
Cold Stone,,Food & Drink
Allstate,,Bills & Utilities
MasterClass,Learning,Education
Concert,Series,Entertainment
Shopify,Refund,Income
USPS POSTAGE $49.51 Other,,Other
CHEGG STUDY $1988.29 Books,,Education
UNITED AIRLINES $33.59,,Transport
MIT OpenCourseWare,éducation,Education
ATM Fee,Daily purchase,Other
VENMO CASHOUT $7598.57,,Income
NIKE.COM ORDER PURCHASE Toddler,,Shopping
RENT PAYMENT $1728.51,,Housing
LIVE NATION $148.15,,Entertainment
UPS SHIPPING $46.49,,Other
Peacock,Museum visit,Entertainment
Toll,Infraction,Other
UNITED AIRLINES $388.80,,Transport
ONLINE PURCHASE Walmart.COM Iced Coffee,,Food & Drink
FEDEx SHIPPING $40.28 Transfer,,Other
Bass Pro Shops,Toddler,Shopping
Red Lobster,점심,Food & Drink
Funimation,Live music,Entertainment
USPS POSTAGE $31.92 Notary,,Other
MEDICAL CENTER $1338.15,,Healthcare
RECURRING PAYMENT YouTube Premium,,Bills & Utilities
PG&E ELECTRIC $313.92 Recurring charge,,Bills & Utilities
PLURALSIGHT $339.07,,Education
UPS SHIPPING $114.67 Various,,Other
Pluralsight,escuela,Education
ONLINE PURCHASE La Taqueria.COM Breakfast,,Food & Drink
STEAM PURCHASE $129.13,,Entertainment
Rite Aid,Counseling,Healthcare
LeetCode,школа,Education
Gym Membership,,Bills & Utilities
Dry Cleaners,일반,Other
ADT,Late fee,Bills & Utilities
Radio Cab,транспорт,Transport
Lease,hypothèque,Housing
Gusto Payroll,,Income
Museum,musik,Entertainment
STATE FARM INS $175.18 Recurring charge,,Bills & Utilities
PARKING PARIS $63.49 Inspection,,Transport
HOSPITAL BILL $1222.91,,Healthcare
PLAYSTATION STORE $93.70,,Entertainment
DEBIT PURCHASE ASOS Home decor,,Shopping
Micro Center,Digital purchase,Shopping
Investment,지급,Income
Google Store,DLC,Shopping
Apartments.com,Repair supplies,Housing
UNIVERSITY TUITION $998.07,,Education
Steam,संगीत,Entertainment
Transit Authority,ईंधन,Transport
Animal Hospital,Medicine,Healthcare
Dividend Payment,Online sale,Income
Deezer,ألعاب,Entertainment
SPOTIFY USA $78.12,,Entertainment
VENMO CASHOUT $1072.57,,Income
AMAZON.COM PURCHASE $414.61 Gadgets,,Shopping
Laundromat,divers,Other
Duke Energy,Electric bill,Bills & Utilities
LYFT RIDES $95.38 Annual pass,,Transport
HOME DEPOT.COM $1521.64 Storage,,Housing
APPLE STORE PURCHASE $25.55,,Shopping
First American,Appliance,Housing
Apple Music,Digital purchase,Entertainment
Circus,entretenimento,Entertainment
Guitar Lessons,शिक्षा,Education
Improv,엔터테인먼트,Entertainment
VENMO CASHOUT $9942.41 Annual tax refund,,Income
UPS SHIPPING $6.70,,Other
Binance,Insurance payout,Income
CHEGG STUDY $110.39,,Education
Pension,Direct deposit,Income
Building Maintenance,Utility deposit,Housing
Data plan,Interest charge,Bills & Utilities
PARKING TOKYO $304.14 Airline ticket,,Transport
RECURRING PAYMENT Spectrum Late fee,,Bills & Utilities
Furniture Store,Mattress,Housing
SHELL OIL SINGAPORE #9892,,Transport
Gambling,Delivery,Other
Fine,Tax prep,Other
TARGET T-6638 PURCHASE,,Shopping
Republic Services,Utility bill,Bills & Utilities
Tire Shop,,Transport
Blood test,salud,Healthcare
AMAZON.COM PURCHASE $356.45 Apparel,,Shopping
CARD 2431 PURCHASE Insomnia Cookies,,Food & Drink
Lottery,игры,Entertainment
Planet Fitness,,Bills & Utilities
Cash App,Dividend payment,Income
Rental Income,Rental income,Income
Zelle,Cash back reward,Income
DIRECT DEBIT Amazon Prime $76.08 Family plan,,Bills & Utilities
XBOX LIVE $144.69 Annual plan,,Entertainment
Disney+,उपयोगिताएँ,Bills & Utilities
Spirit,táxi,Transport
Bakery,식료품,Food & Drink
Planned Parenthood,स्वास्थ्य,Healthcare
Safeway,,Food & Drink
PLURALSIGHT $577.48 Certificate program,,Education
APPLE STORE PURCHASE $484.50 Gadgets,,Shopping
Nintendo eShop,Fair,Entertainment
HOME DEPOT.COM $2888.22,,Housing
Coach,Footwear,Shopping
Parking Meter,Airline ticket,Transport
CARD 4834 PURCHASE Buffalo Wild Wings Catering order,,Food & Drink
Caffe Nero,रात का खाना,Food & Drink
Noodle Shop,,Food & Drink
WAL-MART SUPERCENTER #3184,,Shopping
PG&E ELECTRIC $45.79,,Bills & Utilities
Bath & Body Works,Art supplies,Shopping
DENTAL ASSOCIATES $36.28,,Healthcare
Macy's,Game purchase,Shopping
Urgent Care,Urgent care,Healthcare
Lease Payment,EV charging,Transport
Stock Sale,Part-time work,Income
Deli,Juice,Food & Drink
STOCK SALE TIP $9858.25,,Income
SCHOOL PAYMENT $1016.76,,Education
Art School,Student loan,Education
Smart Home,Electrician,Housing
PayPal,revenu,Income
CARD 7621 PURCHASE Olive Garden,,Food & Drink
Airport,Supercharger,Transport
Prescription,صيدلية,Healthcare
Ambulance,Pet surgery,Healthcare
Jack in the Box,almuerzo,Food & Drink
UNIVERSITY TUITION $396.09,,Education
TARGET T-5411 PURCHASE Fragrance,,Shopping
Samsung Store,Purchase,Shopping
Longhorn Steakhouse,dîner,Food & Drink
Court Payment,فواتير,Bills & Utilities
Genki Sushi,almoço,Food & Drink
Starbucks,Counter service,Food & Drink
POS PURCHASE McDonald's NEW YORK,,Food & Drink
DOORDASH *Tropical Smoothie PURCHASE,,Food & Drink
Gambling,Transfer,Other
HOA Dues,Broadband,Bills & Utilities
TICKETMASTER $162.17,,Entertainment
Peet's Coffee,,Food & Drink
UBER *TRIP $600.63,,Transport
UDEMY COURSE $474.62 Online course,,Education
Notebooks,Tuition fee,Education
AUTOPAY VERIZON WIRELESS $145.42 Monitoring fee,,Bills & Utilities
Comixology,кино,Entertainment
Costco,Digital purchase,Shopping
Verizon Store,Purchase,Shopping
UBER EATS *Tim Hortons PURCHASE,,Food & Drink
Bond Maturity,Gig economy,Income
Cracker Barrel,Brunch,Food & Drink
METRO TRANSIT $348.52 Carry-on,,Transport
EXXON MOBIL #4398 Business class,,Transport
Gift Card,Uncategorized,Other
Bank of America,Claim settlement,Income
SPOTIFY USA $163.05 Movie ticket,,Entertainment
WALGREENS #1278 $985.66,,Healthcare
PARKING LONDON $295.73,,Transport
American Airlines,voyage,Transport
Radiology Associates,चिकित्सा,Healthcare
PARKING LOS ANGELES $710.23,,Transport
Salvation Army,Daycare,Other
Megabus,gasolina,Transport
Pharmacy,Prescription,Healthcare
HOSPITAL BILL $1097.67 Lab results,,Healthcare
Consignment,विभिन्न,Other
Walmart,Footwear,Shopping
Samsung,買い物,Shopping
Chegg,विश्वविद्यालय,Education
SHELL OIL DUBAI #2077 Premium gas,,Transport
SPOTIFY USA $132.33 Wellness subscription,,Entertainment
Handyman,Home warranty,Housing
DEBIT PURCHASE Five Below Clothing,,Shopping
Facebook Marketplace,Vacation rental,Housing
Temu,Fragrance,Shopping
USAA,Electric bill,Bills & Utilities
Fine,잡다,Other
GRE Prep,Technology fee,Education
DENTAL ASSOCIATES $748.20 Counseling,,Healthcare
