merchant,description,category
RENT PAYMENT $2465.06 HOA fee,,Housing
Azure Certification,escola,Education
SKILLSHARE $248.93 Test preparation,,Education
MORTGAGE PAYMENT $2427.66 HOA fee,,Housing
Tidal,cinéma,Entertainment
Southwest Airlines,,Transport
WALGREENS #4855 $524.62 Pharmacy,,Healthcare
Garage Sale,收入,Income
Notebooks,Language learning,Education
Lowe's,سكن,Housing
AMC THEATRES SAO PAULO $102.27,,Entertainment
Chili's,,Food & Drink
Property Tax,Standing order,Bills & Utilities
CVS,Fragrance,Shopping
DEBIT CARD PURCHASE Chipotle Wine,,Food & Drink
LIVE NATION $142.89,,Entertainment
MEDICAL CENTER $1373.84,,Healthcare
FedEx Office,Monthly subscription,Other
QUEST DIAGNOSTICS $717.02,,Healthcare
Wish,Accessories,Shopping
Prescription,Doctor visit,Healthcare
Babbel,Pay-per-view,Entertainment
LabCorp,santé,Healthcare
D&D Session,Meditation app,Entertainment
Spirit,táxi,Transport
SHELL OIL SYDNEY #3125,,Transport
Airbnb,Licensing,Income
Freelance Payment,Licensing,Income
Spotify,,Entertainment
Craigslist Housing,बंधक,Housing
Radiology Associates,अस्पताल,Healthcare
WAL-MART SUPERCENTER #4593,,Shopping
VRBO,reparación,Housing
Social Security,Overtime,Income
Clinic,医疗,Healthcare
Mosquito Control,홈,Housing
Crutches,farmacia,Healthcare
Vision Center,Urgent care,Healthcare
Settlement,Paycheck,Income
Internet Bill,Installation fee,Bills & Utilities
Karaoke,流媒体,Entertainment
Sushi,Japanese,Food & Drink
Refund,,Income
Little Caesars,Birthday cake,Food & Drink
Nightclub,Streaming subscription,Entertainment
GOVERNMENT PAYMENT $98.22,,Other
Applebee's,Brunch,Food & Drink
DELTA AIR LINES $357.88 Parking weekly,,Transport
PHARMACY PURCHASE $886.88,,Healthcare
SAT Prep,Certification,Education
Employer Payroll,,Income
Camera equipment,streaming,Entertainment
Tax Return,Insurance payout,Income
Instituto Cervantes,Lifetime access,Education
Disney+,खेल,Entertainment
UDEMY COURSE $1726.20 Tuition payment,,Education
Grocery Store,Cappuccino,Food & Drink
Mosque,Scanning,Other
Cleaning Service,Shipping,Housing
First Aid,medizinisch,Healthcare
Concert,,Entertainment
Myntra,Quarterly box,Shopping
Conference,Certificate program,Education
Smart Lock,,Housing
Medical bill,LASIK,Healthcare
RECURRING PAYMENT State Farm Installation fee,,Bills & Utilities
Fitness Class,jogos,Entertainment
Enterprise Rent-A-Car,Diesel,Transport
DEBIT PURCHASE Marketplace Order,,Shopping
Funimation,Rental,Entertainment
eBay,Baby items,Shopping
Kroger,식료품,Food & Drink
At Home,Outdoor gear,Shopping
Electrician,किराया,Housing
COURSERA PURCHASE $1032.81,,Education
Toll,Car rental,Transport
Amtrak,تاكسي,Transport
WALGREENS #3659 $1456.81 Hospital stay,,Healthcare
D&D Session,Spa treatment,Entertainment
Health Insurance,公共料金,Bills & Utilities
Notary,divers,Other
VENMO CASHOUT $8148.58,,Income
Art Gallery,,Entertainment
Psychiatrist,चिकित्सा,Healthcare
Costco,Sushi,Food & Drink
PayPal,revenu,Income
LYFT RIDES $654.90,,Transport
UDEMY COURSE $515.21,,Education
MRI,Counseling,Healthcare
Art School,大学,Education
Counseling Center,,Healthcare
Ashley Furniture,Outdoor gear,Shopping
Starbucks Reserve,Weekend brunch,Food & Drink
Toll,Faxing,Other
Trade School,Study material,Education
DEBIT CARD PURCHASE Pizza Hut,,Food & Drink
DELTA AIR LINES $690.73 Airport lounge,,Transport
APPLE STORE PURCHASE $229.93,,Shopping
MEDICAL CENTER $412.52,,Healthcare
Reliant Energy,Installation fee,Bills & Utilities
PlayStation Plus,música,Entertainment
JioMart,电子产品,Shopping
Google Store,Outdoor gear,Shopping
DEBIT CARD PURCHASE IHOP,,Food & Drink
UDEMY COURSE $540.73 Piano lesson,,Education
Escape Room,Comedy show,Entertainment
METRO TRANSIT $625.79,,Transport
Yard Sale,Refund,Income
AWS Training,교육,Education
Dior,Shoes,Shopping
Postmates Order,Weekend brunch,Food & Drink
Freelancer.com,Freelance work,Income
Rail Europe,Parking fee,Transport
Cable Bill,services,Bills & Utilities
Direct Energy,تأمين,Bills & Utilities
Disability,Investment return,Income
DOORDASH *Butcher Shop PURCHASE Dessert,,Food & Drink
ChargePoint,Flight ticket,Transport
Federal Refund,Interest payment,Income
LOWES #3746 $528.76,,Housing
STATE TREASURY REFUND Commission,,Income
GCP Training,コース,Education
Aspen Dental,Extraction,Healthcare
MasterClass,Technology fee,Education
Dave & Buster's,Wrap,Food & Drink
Wetherspoons,Cocktail,Food & Drink
USPS POSTAGE $108.71 Contribution,,Other
Harvard Extension,Dance class,Education
RECURRING PAYMENT Child Support Gas bill,,Bills & Utilities
STATE TREASURY REFUND Rebate check,,Income
Trust Distribution,返金,Income
Starbucks STORE #2275 PURCHASE Taco,,Food & Drink
RENT PAYMENT $741.76 Maid service,,Housing
Dental Associates,Dental checkup,Healthcare
Pluralsight,,Education
Black Cab,Carry-on,Transport
Pawn Shop,Copying,Other
Facebook Marketplace,Vacation rental,Housing
Orthopedist,saúde,Healthcare
Redfin,抵押贷款,Housing
Charity,Unit rental,Other
Crypto Exchange,,Income
Commission,수입,Income
Crate & Barrel,Electronics,Shopping
HOME DEPOT #2001 $642.83,,Housing
PLURALSIGHT $1026.43 Martial arts,,Education
Dunkin',restaurante,Food & Drink
UPS SHIPPING $7.42,,Other
Vet Clinic,병원,Healthcare
Auto Insurance,Overdue payment,Bills & Utilities
Angi,Handyman,Housing
HOME DEPOT.COM $2692.55 Maintenance,,Housing
H&M,Pet supplies,Shopping
Mosquito Control,Lease payment,Housing
TARGET T-5411 PURCHASE Fragrance,,Shopping
Rehab Associates,,Healthcare
Barnes & Noble,ストリーミング,Entertainment
Ophthalmologist,Vitamins,Healthcare
LIVE NATION $180.79 Expansion,,Entertainment
Pest Control,Home insurance,Housing
XBOX LIVE $119.67,,Entertainment
PLURALSIGHT $595.95 Cooking class,,Education
LeetCode,Fellowship,Education
Paintball,spiele,Entertainment
USPS POSTAGE $152.21 Consultation,,Other
Tutoring Center,,Education
Cash Back,Freelance payment,Income
Language School,كتب,Education
Kroger,Weekend brunch,Food & Drink
Airbnb,Rebate check,Income
MIT OpenCourseWare,éducation,Education
Child Support,Administrative fee,Bills & Utilities
Lufthansa,Inspection,Transport
Vision Center,farmacia,Healthcare
Sears Optical,Prescription,Healthcare
Mattress Store,Monthly mortgage,Housing
AUTOPAY VERIZON WIRELESS $344.26 Software subscription,,Bills & Utilities
Retirement Distribution,Patent income,Income
Crate & Barrel,إلكترونيات,Shopping
LabCorp,Pet medication,Healthcare
Printing,Stamp,Other
Trash Pickup,,Bills & Utilities
Contractor,बंधक,Housing
DELTA AIR LINES $449.90,,Transport
Airbnb,revenu,Income
HOME DEPOT.COM $2748.52 Paint,,Housing
Craft supplies,Museum visit,Entertainment
Thai Basil,Catering order,Food & Drink
USPS POSTAGE $75.58,,Other
PHARMACY PURCHASE $579.44,,Healthcare
WAL-MART SUPERCENTER #2757 Microtransaction,,Shopping
Home Depot,Hardware,Shopping
Geico,,Bills & Utilities
Storage Unit,Tax payment,Housing
Avis,Cab fare,Transport
Recycling,abonnement,Bills & Utilities
Prada,Toys,Shopping
Terminix,réparation,Housing
Medical bill,pharmacie,Healthcare
FasTrak,Checked bag,Transport
SHELL OIL DUBAI #2077 Premium gas,,Transport
Disability,دفعة,Income
Budget,топливо,Transport
STOCK SALE ROYA $5355.88,,Income
MetLife,Gas bill,Bills & Utilities
HOA DUES $2349.80,,Housing
TARGET T-6638 PURCHASE,,Shopping
ONLINE PURCHASE Popeyes.COM,,Food & Drink
Social Security,pago,Income
Zelle,,Income
Deductible payment,Pet medication,Healthcare
Zara,Clothing,Shopping
SHELL OIL SINGAPORE #2658,,Transport
UBER *TRIP $120.96,,Transport
HOME DEPOT.COM $2409.59 Vacation rental,,Housing
Fine,Misc purchase,Other
Habitat for Humanity,Shipping,Other
CubeSmart,Packing,Housing
Prize Money,退款,Income
Greyhound,Ride share,Transport
First American,Appliance,Housing
Sam's Club,casa,Shopping
Disney+,Streaming,Entertainment
H-E-B,,Food & Drink
Papa Murphy's SUBSCRIPTION RENEWAL,,Food & Drink
StubHub,Game night,Entertainment
FedEx,Unknown,Other
UPS SHIPPING $120.36 Replacement,,Other
Wetherspoons STORE #6867 PURCHASE,,Food & Drink
County Tax,Administrative fee,Bills & Utilities
First American,,Housing
Budget,Street parking,Transport
STATE FARM INS $63.07 Wireless service,,Bills & Utilities
BOOK STORE $825.84 Tech course,,Education
Realtor.com,zuhause,Housing
AMC THEATRES SYDNEY $89.29,,Entertainment
Wish,,Shopping
Public Transit,transporte,Transport
Retail Store,divers,Other
Bolt,Charging,Transport
PARKING TOKYO $687.02,,Transport
COURSERA PURCHASE $1493.59,,Education
SCHOOL PAYMENT $601.30 Test preparation,,Education
Barnes & Noble,मनोरंजन,Entertainment
Car Rental,Taxi,Transport
Guitar Lessons,Enrollment,Education
STEAM PURCHASE $24.02,,Entertainment
Test Prep,대학교,Education
First American,Property tax,Housing
WAL-MART SUPERCENTER #2611 Outdoor gear,,Shopping
GEICO PAYMENT $44.63,,Bills & Utilities
RENT PAYMENT $2628.91 Property tax,,Housing
TICKETMASTER $37.76,,Entertainment
Spa Day,Rental,Entertainment
CubeSmart,Deep clean,Housing
Walmart,Footwear,Shopping
Fidelity,revenu,Income
HOME DEPOT.COM $925.38,,Housing
DEBIT PURCHASE Micro Center,,Shopping
Concert,Fair,Entertainment
POS PURCHASE Hard Rock Cafe MUMBAI Delivery,,Food & Drink
STEAM PURCHASE $12.02,,Entertainment
Spin,Gas fill-up,Transport
Pluralsight,Voice lesson,Education
ONLINE ORDER Kate Spade,,Shopping
Condo Fees,Finance charge,Bills & Utilities
Tandoori Nights,Water,Food & Drink
First Aid,Pet medication,Healthcare
Little Caesars SUBSCRIPTION RENEWAL Fries,,Food & Drink
Notebooks,Art class,Education
FedEx,Fine payment,Other
UBER *TRIP $308.00 Street parking,,Transport
MAINTENANCE Craigslist Housing $2263.51,,Housing
Sport Rehab,médico,Healthcare
Tax Return,Paycheck,Income
Lowe's,修理,Housing
Deli,,Food & Drink
T-Mobile,Phone bill,Bills & Utilities
UDEMY COURSE $1061.14,,Education
Ultrasound,Consultation,Healthcare
Furniture Store,修理,Housing
Allstate,Insurance,Bills & Utilities
Starbucks Reserve SUBSCRIPTION RENEWAL,,Food & Drink
BANK FEE $109.95 Prepaid load,,Other
Electrical,,Housing
IHOP,Lunch,Food & Drink
Electric Company,Electric bill,Bills & Utilities
QUEST DIAGNOSTICS $1408.84,,Healthcare
Medical bill,Medicine,Healthcare
PLURALSIGHT $322.15,,Education
FlixBus,Carry-on,Transport
Discovery+,엔터테인먼트,Entertainment
GMAT Prep,SAT prep,Education
CityMD,Imaging,Healthcare
USPS POSTAGE $5.16,,Other
Freenow,Parking fee,Transport
COURSERA PURCHASE $106.18,,Education
AMAZON.COM PURCHASE $448.69 Digital purchase,,Shopping
DIRECT DEPOSIT PAYROLL $8065.49 Freelance work,,Income
Cardiologist,صحة,Healthcare
Government,Prepaid load,Other
AUTOPAY VERIZON WIRELESS $166.67,,Bills & Utilities
Johns Hopkins,Pharmacy,Healthcare
Red Cross,,Other
Mount Sinai,Medical,Healthcare
Geico,Insurance,Bills & Utilities
Ambulance,Doctor visit,Healthcare
Season Pass,Training session,Entertainment
WooCommerce,Commission,Income
SCHOOL PAYMENT $1693.18,,Education
Zelle,आय,Income
UBER EATS *Deli PURCHASE,,Food & Drink
freeCodeCamp,schule,Education
H&M,Microtransaction,Shopping
Dollar Rental,Inspection,Transport
GEICO PAYMENT $237.27,,Bills & Utilities
WESTERN UNION $65.41 Tithe,,Other
IRS TREAS 310 TAX REF Refund,,Income
AMC Theatres,Movie ticket,Entertainment
Kindle,Annual plan,Entertainment
UNIVERSITY TUITION $1512.77,,Education
DEBIT PURCHASE Sephora Sports equipment,,Shopping
Denny's,,Food & Drink
DEBIT PURCHASE Apple Hardware,,Shopping
UBER EATS *Arby's PURCHASE Wine,,Food & Drink
UBER EATS *In-N-Out PURCHASE,,Food & Drink
DEBIT PURCHASE TJ Maxx,,Shopping
Ultrasound,Dental checkup,Healthcare
Marshalls,compras,Shopping
STATE TREASURY REFUND IRS refund,,Income
RENT PAYMENT $2361.45 Furniture,,Housing
MORTGAGE PAYMENT $1209.71 Monthly mortgage,,Housing
Louis Vuitton,дом,Shopping
City Tax,,Bills & Utilities
BEST BUY #9545 SINGAPORE Gadgets,,Shopping
DIRECT DEPOSIT PAYROLL $9754.04 Donation received,,Income
Aquarium,,Entertainment
UNITED AIRLINES $320.56 Gas,,Transport
QUEST DIAGNOSTICS $554.84,,Healthcare
RECURRING PAYMENT AT&T Auto-pay,,Bills & Utilities
Microsoft 365,,Bills & Utilities
Princeton Review,コース,Education
Pet Emergency,аптека,Healthcare
TICKETMASTER $124.95,,Entertainment
MORTGAGE PAYMENT $1081.00,,Housing
APPLE STORE PURCHASE $342.42 Digital purchase,,Shopping
Pet Store,잡다,Other
Veterinarian,अस्पताल,Healthcare
Baggage Fee,Economy class,Transport
LYFT RIDES $488.43 Brake pads,,Transport
Metro Card,Supercharger,Transport
Fidelity,Part-time work,Income
Lime,combustível,Transport
Flipkart,전자제품,Shopping
Tiffany & Co,elektronik,Shopping
Sport Rehab,Pet vet visit,Healthcare
FEDEx SHIPPING $140.97,,Other
License Fee,Donation received,Income
Craigslist,Camera system,Housing
Lawyer,Top-up,Other
WAL-MART SUPERCENTER #8118 Jeans,,Shopping
Wendy's,음식,Food & Drink
CARD 0319 PURCHASE Walmart Steak,,Food & Drink
Box,订阅,Bills & Utilities
Guitar Lessons,école,Education
Laundromat,divers,Other
PARKING DUBAI $76.14 Detailing,,Transport
GOVERNMENT PAYMENT $160.99 Replacement,,Other
Raising Cane's,Coffee,Food & Drink
Rent Payment,Electrician,Housing
Butcher Shop,Breakfast,Food & Drink
Airport,viagem,Transport
Pawn Shop,Misc purchase,Other
Gratuity,salário,Income
Hard Rock Cafe,Late night snack,Food & Drink
Pad Thai Kitchen,Juice,Food & Drink
COURSERA PURCHASE $1104.35,,Education
Sam's Club,ملابس,Shopping
Books-A-Million,Keyboard,Shopping
SCHOOL PAYMENT $1477.01,,Education
Airline Ticket,Annual pass,Transport
Trade School,université,Education
MORTGAGE PAYMENT $923.21,,Housing
MISC PURCHASE $105.22 Laundry,,Other
BP,Gas,Transport
CVS PHARMACY #4617 $1215.83,,Healthcare
Bank of America,Claim settlement,Income
Michaels,Art supplies,Shopping
T-Mobile Store,Online shopping,Shopping
SpotHero,In-flight meal,Transport
Ambulance,Filling,Healthcare
MEDICAL CENTER $973.07,,Healthcare
Sewer District,,Bills & Utilities
BioReference,Retainer,Healthcare
D&D Session,,Entertainment
WALGREENS #7924 $75.74,,Healthcare
HOME DEPOT.COM $1379.01,,Housing
MISC PURCHASE $11.92 Daycare,,Other
Venmo,State refund,Income
Hack Reactor,Art class,Education
Termite Treatment,Camera system,Housing
AMAZON.COM PURCHASE $464.46 Monitor,,Shopping
Etsy,Interest payment,Income
GOVERNMENT PAYMENT $26.33,,Other
AMC Theatres,Game night,Entertainment
Property Management Co.,Tax payment,Housing
Laser Tag,मनोरंजन,Entertainment
Sephora,Kitchenware,Shopping
Caffe Nero,Buffet,Food & Drink
BEST BUY #4590 CHICAGO,,Shopping
AUTOPAY VERIZON WIRELESS $349.13 Deductible,,Bills & Utilities
PHARMACY PURCHASE $1030.01 Flu shot,,Healthcare
Recycling,Standing order,Bills & Utilities
DIRECT DEPOSIT PAYROLL $5651.01,,Income
Amazon Music,музыка,Entertainment
PHARMACY PURCHASE $434.86,,Healthcare
SpotHero,Business class,Transport
TARGET T-6069 PURCHASE Hiking,,Shopping
NETFLIX.COM $53.70,,Entertainment
Plumber,Move-in fee,Housing
La Taqueria,Soda,Food & Drink
Qdoba,Happy hour,Food & Drink
Comixology,Manicure,Entertainment
SPOTIFY USA $59.93,,Entertainment
Apple Music,Series,Entertainment
Chipotle,essen,Food & Drink
DEBIT CARD PURCHASE Tea House,,Food & Drink
Workshop,Loan payment,Education
NETFLIX.COM $156.01,,Entertainment
Rental Car,Seat upgrade,Transport
NETFLIX.COM $187.45,,Entertainment
Temu,Fragrance,Shopping
DOORDASH *Sonic PURCHASE,,Food & Drink
iHeartRadio,Music streaming,Entertainment
PROPERTY TAX $1608.04,,Housing
USPS POSTAGE $17.30,,Other
Western Union,その他,Other
PROPERTY TAX $1231.99,,Housing
Doctor,больница,Healthcare
MAINTENANCE Orkin $2817.72 Maid service,,Housing
CreativeLive,Test preparation,Education
Retainer,Gift card redemption,Income
MRI,Emergency,Healthcare
QUEST DIAGNOSTICS $1215.22,,Healthcare
Dry Cleaners,Gift card purchase,Other
E*Trade,Freelance payment,Income
Yard Sale,erstattung,Income
NETFLIX.COM $102.61,,Entertainment
DIRECT DEBIT Brinks $50.49,,Bills & Utilities
Sonic,レストラン,Food & Drink
Vivid Seats,cinema,Entertainment
Sushi Bar,merceria,Food & Drink
COURSERA PURCHASE $193.91 Online course,,Education
The Cheesecake Factory,,Food & Drink
TICKETMASTER $50.31,,Entertainment
Parking,Registration,Transport
Shopify,revenu,Income
DENTAL ASSOCIATES $1230.51,,Healthcare
LIVE NATION $153.03,,Entertainment
Google Store,DLC,Shopping
Comcast,Gas bill,Bills & Utilities
MISC PURCHASE $194.38,,Other
BOOK STORE $1113.25,,Education
CVS PHARMACY #5189 $666.25 Pet surgery,,Healthcare
Electrify America,여행,Transport
HOME DEPOT #1942 $569.94,,Housing
Prize Money,paiement,Income
GoFundMe,Certification,Other
HOME DEPOT.COM $2034.61 Property tax,,Housing
License Renewal,Grant,Education
WESTERN UNION $35.49,,Other
Town Hall,Consultation,Other
UBER *TRIP $364.57 Cab fare,,Transport
Sale Proceeds,salario,Income
Cleveland Clinic,Medical,Healthcare
BANK FEE $164.31,,Other
UBER *TRIP $561.80,,Transport
VENMO CASHOUT $9942.41 Annual tax refund,,Income
State Tax Refund,Monthly salary,Income
FEDEx SHIPPING $73.03,,Other
Grubhub Order,Dessert,Food & Drink
Termite Treatment,租金,Housing
Netflix,Theme park,Entertainment
LOWES #8470 $784.20,,Housing
Prescription,Surgery,Healthcare
PG&E ELECTRIC $317.02,,Bills & Utilities
REI,전자제품,Shopping
Berlitz,,Education
GEICO PAYMENT $198.55 Monthly fee,,Bills & Utilities
T-MOBILE AUTOPAY $331.34 Installation fee,,Bills & Utilities
State Tax Refund,Tax refund,Income
Under Armour,,Shopping
Bob Evans,Afternoon tea,Food & Drink
Apple Music,cinéma,Entertainment
PG&E ELECTRIC $74.91 Service charge,,Bills & Utilities
Sewer Bill,Broadband,Bills & Utilities
Transit Pass,One way,Transport
BEST BUY #1366 BERLIN Keyboard,,Shopping
Ace Hardware,,Housing
Oil Change,Checked bag,Transport
RENT PAYMENT $2682.49,,Housing
Museum,,Entertainment
PURCHASE AUTHORIZED Nothing Bundt Cakes $79.76,,Food & Drink
Charity,Copying,Other
Wine Shop,Weekly groceries,Food & Drink
Overstock,電子機器,Shopping
SCHOOL PAYMENT $384.78 Enrollment,,Education
DIRECT DEBIT Water Bill $335.48,,Bills & Utilities
Dividend Payment,Freelance work,Income
Card Game,entretenimiento,Entertainment
KAISER PERMANENTE $819.36,,Healthcare
LabCorp,Dental checkup,Healthcare
Gojek,택시,Transport
Refund,आय,Income
AMC Theatres,,Entertainment
LIVE NATION $194.81 Fair,,Entertainment
RENT PAYMENT $881.66 HOA fee,,Housing
Chipotle Mexican Grill,Cake,Food & Drink
Xfinity,Software subscription,Bills & Utilities
PAYPAL TRANSFER $325.78,,Income
AMC THEATRES NEW YORK $9.55,,Entertainment
ONLINE ORDER Amazon,,Shopping
Shell Recharge,燃料,Transport
STATE FARM INS $97.18,,Bills & Utilities
HBO Max,autopay,Bills & Utilities
PROPERTY TAX $617.20 Flooring,,Housing
Tea House,Wine,Food & Drink
Grab,EV charging,Transport
Apartment,Rent,Housing
CVS PHARMACY #5732 $319.39,,Healthcare
Stationery,教育,Education
Side Gig,,Income
Water Bill,,Bills & Utilities
CHEGG STUDY $202.66,,Education
DIRECT DEBIT Electric Bill $294.97,,Bills & Utilities
Travelers,Gas bill,Bills & Utilities
Saks Fifth Avenue,,Shopping
AXS,,Entertainment
Florist,,Other
Apartments.com,,Housing
Cash App,Rental income,Income
TARGET T-1402 PURCHASE Clothing,,Shopping
Test Prep,Student fee,Education
REI,Coat,Shopping
Orkin,Hotel,Housing
WAL-MART SUPERCENTER #4041,,Shopping
Direct Energy,Utility bill,Bills & Utilities
Medicine,аптека,Healthcare
DIRECT DEPOSIT PAYROLL $1113.06,,Income
Walgreens,покупки,Shopping
Lease,hypothèque,Housing
Mental Health,Consultation,Healthcare
Community College,Scholarship,Education
PHARMACY PURCHASE $300.14,,Healthcare
UNITED AIRLINES $729.41,,Transport
ACH CREDIT Federal Refund,,Income
FEDEx SHIPPING $93.92,,Other
Orkin,Paint,Housing
Sears Optical,аптека,Healthcare
DELTA AIR LINES $494.33 Inspection,,Transport
Roofing,Garden,Housing
AMC THEATRES LOS ANGELES $176.38 Series,,Entertainment
Life Insurance,Broadband,Bills & Utilities
Golden Corral,mittagessen,Food & Drink
QUEST DIAGNOSTICS $782.73 Vitamins,,Healthcare
Toll,Flight,Transport
Pet Hospital,,Healthcare
DIVIDEND CRYP $5205.93,,Income
Aspen Dental,Medical supplies,Healthcare
Princeton Review,Certificate program,Education
DIRECT DEPOSIT PAYROLL $2870.58 Settlement check,,Income
HBO Max,Live music,Entertainment
Vet Clinic,медицина,Healthcare
HOME DEPOT #5452 $1812.25,,Housing
Google Career Certificates,Language learning,Education
Greyhound,Airport shuttle,Transport
Grooming,Kennel,Other
Consignment,विभिन्न,Other
Cash Back,Gift card redemption,Income
Lottery Winnings,,Income
Veterinarian,Prescription,Healthcare
Coffee Shop,Breakfast,Food & Drink
CHEGG STUDY $1715.73,,Education
HOSPITAL BILL $1198.36,,Healthcare
Pay-per-view,,Entertainment
Papa John's,아침,Food & Drink
Music School,Art class,Education
Hulu,,Entertainment
BEST BUY #1761 DUBAI,,Shopping
Orkin,Smart home,Housing
Google Workspace,servicios,Bills & Utilities
Zoo,Art show,Entertainment
Rental Car,Parking daily,Transport
Cabela's,DLC,Shopping
CVS PHARMACY #5643 $61.23,,Healthcare
AMC THEATRES TOKYO $151.50,,Entertainment
MAINTENANCE Smart Lock $827.85,,Housing
Google Career Certificates,universidade,Education
EXXON MOBIL #1005,,Transport
UBER *TRIP $482.95,,Transport
WooCommerce,استرداد,Income
MISC PURCHASE $188.09,,Other
Sewer Bill,Cloud storage,Bills & Utilities
Water Company,Family plan,Bills & Utilities
Thrift Store,Childcare,Other
United Way,Infraction,Other
EXXON MOBIL #7321 Carry-on,,Transport
Flight,Car wash,Transport
UNITED AIRLINES $228.26 Gas,,Transport
PARKING SAO PAULO $549.16 Round trip,,Transport
Tutoring Center,escola,Education
KAISER PERMANENTE $909.07 Glasses,,Healthcare
Cash App,einkommen,Income
UBER EATS *Dunkin' PURCHASE,,Food & Drink
KAISER PERMANENTE $1315.38 Consultation,,Healthcare
HOME DEPOT.COM $1583.27,,Housing
License Fee,IRS refund,Income
Codecademy,Tuition,Education
Chili's,Iced Coffee,Food & Drink
Severance,Sublease,Income
CHEGG STUDY $1999.56 Student loan,,Education
Five Below,Quarterly box,Shopping
EXXON MOBIL #6153,,Transport
UBER EATS *Coffee Shop PURCHASE Water,,Food & Drink
Aldi,,Food & Drink
KAISER PERMANENTE $841.41,,Healthcare
AUTOPAY VERIZON WIRELESS $256.23 Finance charge,,Bills & Utilities
Udemy,대학교,Education
LYFT RIDES $753.41 Inspection,,Transport
Sewer Bill,Software subscription,Bills & Utilities
COMCAST CABLE $248.51 Utility bill,,Bills & Utilities
QUEST DIAGNOSTICS $510.25,,Healthcare
DOORDASH *Jamba Juice PURCHASE,,Food & Drink
Adidas,Charger,Shopping
AMC THEATRES SEOUL $118.87,,Entertainment
Supplement,Dental checkup,Healthcare
UBER *TRIP $378.65,,Transport
UBER EATS *The Cheesecake Factory PURCHASE,,Food & Drink
Green Mountain Energy,Mobile plan,Bills & Utilities
Red Cross,Laundry,Other
Caffe Nero,レストラン,Food & Drink
Model building,,Entertainment
UNITED AIRLINES $323.90,,Transport
DIVIDEND UPWO $5582.17,,Income
AUTOPAY VERIZON WIRELESS $230.20,,Bills & Utilities
DIRECT DEPOSIT PAYROLL $1500.33 Bonus,,Income
Orkin,Pest control,Housing
FEDEx SHIPPING $66.94 Filing fee,,Other
Netflix,Play,Entertainment
LYFT RIDES $362.52,,Transport
Aspen Dental,Root canal,Healthcare
FEDEx SHIPPING $170.08,,Other
Prepaid Card,Certification,Other
Apple Music,Monthly premium,Bills & Utilities
Gojek,Parking fee,Transport
Mini Golf,Art show,Entertainment
AMC THEATRES MUMBAI $58.89,,Entertainment
SPOTIFY USA $9.32,,Entertainment
LOWES #2253 $1837.22,,Housing
Rainforest Cafe,ディナー,Food & Drink
Interest Payment,Bond interest,Income
Nest,,Housing
COMCAST CABLE $260.85,,Bills & Utilities
Bank Fee,Gift card purchase,Other
Renters Insurance,Monthly premium,Bills & Utilities
Water Bill,Subscription,Bills & Utilities
Vivid Seats,娱乐,Entertainment
Maid Brigade,Security,Housing
PROPERTY TAX $2304.70 Remodel,,Housing
Concert ticket,Streaming subscription,Entertainment
CARD 5579 PURCHASE Del Taco Family meal,,Food & Drink
CARD 3285 PURCHASE Starbucks Reserve Dinner,,Food & Drink
Side Gig,devolución,Income
TNT, various,Other
BP,Charging,Transport
Sonic,Espresso,Food & Drink
VENMO CASHOUT $4149.08,,Income
SHELL OIL LOS ANGELES #4134,,Transport
Disney+,assinatura,Bills & Utilities
Property Tax,Home insurance,Housing
Insomnia Cookies,Late night snack,Food & Drink
Postmates Order,Fries,Food & Drink
Comedy Club,Bowling night,Entertainment
First American,Remodel,Housing
Home Warranty,Home insurance,Housing
Babysitter,Monthly subscription,Other
DOORDASH *Red Lobster PURCHASE,,Food & Drink
Dance Classes,Monthly subscription,Education
AMC THEATRES TORONTO $69.12 Open mic,,Entertainment
Dermatologist,Extraction,Healthcare
DIRECT DEPOSIT PAYROLL $7116.03,,Income
CHEGG STUDY $1908.56,,Education
Babysitter,,Other
Subscription Service,일반,Other
Heartland Dental,Crown,Healthcare
CARD 8113 PURCHASE Wingstop Smoothie,,Food & Drink
PHARMACY PURCHASE $409.01 Braces,,Healthcare
Water Company,Water bill,Bills & Utilities
Netflix,구독,Bills & Utilities
HOME DEPOT.COM $699.32,,Housing
Alliance Française,पाठ्यक्रम,Education
AMAZON.COM PURCHASE $256.57 In-app purchase,,Shopping
DIRECT DEPOSIT PAYROLL $2622.49,,Income
Art Gallery,ストリーミング,Entertainment
Charles Schwab,,Income
GEICO PAYMENT $321.79,,Bills & Utilities
The Cheesecake Factory,Pizza,Food & Drink
Bolt,самолет,Transport
Venmo,Interest payment,Income
Steam,Sandals,Shopping
Bob Evans,Counter service,Food & Drink
XBOX LIVE $114.63 Festival,,Entertainment
QUEST DIAGNOSTICS $1337.01,,Healthcare
Xbox Game Pass,音乐,Entertainment
Upwork,Gig economy,Income
PHARMACY PURCHASE $784.46,,Healthcare
Cash App,Dividend payment,Income
Miscellaneous,allgemein,Other
HOA DUES $1052.76,,Housing
Urologist,X-ray,Healthcare
AMC THEATRES BERLIN $176.41,,Entertainment
Rebate,revenu,Income
TaskRabbit,Appliance,Housing
Panda Express,Cocktail,Food & Drink
Grill,Lunch,Food & Drink
PLURALSIGHT $1530.37,,Education
Property Management Co.,Airbnb stay,Housing
LOWES #8810 $2632.23,,Housing
PARKING PHOENIX $116.83 Parking daily,,Transport
